country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","22-09-2026 22:00:00",25.599486,85.113666,SO2,9,13,10
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","22-09-2026 22:00:00",25.599486,85.113666,OZONE,27,28,28
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","22-09-2026 22:00:00",25.0328,85.41948,NO2,13,15,14
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","22-09-2026 22:00:00",25.251013,86.989001,PM10,29,405,83
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","22-09-2026 22:00:00",25.251013,86.989001,NO2,19,24,21
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","22-09-2026 22:00:00",30.751462,76.762879,SO2,4,9,6
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","22-09-2026 22:00:00",30.751462,76.762879,OZONE,12,42,25
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","22-09-2026 22:00:00",22.348441,82.549611,PM2.5,13,33,20
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","22-09-2026 22:00:00",22.348441,82.549611,PM10,19,48,28
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","22-09-2026 22:00:00",22.368195,82.746431,PM2.5,11,14,13
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","22-09-2026 22:00:00",22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","22-09-2026 22:00:00",22.368195,82.746431,SO2,2,6,4
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","22-09-2026 22:00:00",22.12665,83.483212,SO2,5,22,13
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","22-09-2026 22:00:00",28.6811736,77.3025234,NO2,48,73,56
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","22-09-2026 22:00:00",28.6811736,77.3025234,NH3,2,6,4
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","22-09-2026 22:00:00",28.531346,77.190156,PM2.5,68,207,114
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","22-09-2026 22:00:00",28.531346,77.190156,NO2,19,52,27
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","22-09-2026 22:00:00",28.56789,77.250515,NO2,21,71,45
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","22-09-2026 22:00:00",22.1910172,83.5197009,CO,17,36,21
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","22-09-2026 22:00:00",21.219665,81.630094,NO2,12,44,23
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","22-09-2026 22:00:00",21.258815,81.578979,NH3,2,2,2
India,Delhi,Delhi,"Bawana, Delhi - DPCC","22-09-2026 22:00:00",28.7762,77.051074,OZONE,17,28,24
India,Delhi,Delhi,"Rohini, Delhi - DPCC","22-09-2026 22:00:00",28.732528,77.11992,NO2,1,12,6
India,Delhi,Delhi,"Rohini, Delhi - DPCC","22-09-2026 22:00:00",28.732528,77.11992,NH3,3,5,4
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","22-09-2026 22:00:00",28.672342,77.31526,OZONE,8,83,32
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","22-09-2026 22:00:00",28.594169,77.1251,PM10,63,123,89
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC","22-09-2026 22:00:00",28.594169,77.1251,CO,36,64,53
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","22-09-2026 22:00:00",28.710508,77.249485,PM2.5,87,305,195
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","22-09-2026 22:00:00",28.570173,76.933762,NO2,8,42,22
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","22-09-2026 22:00:00",28.570173,76.933762,SO2,25,49,29
India,Delhi,Delhi,"Mundka, Delhi - DPCC","22-09-2026 22:00:00",28.684678,77.076574,PM2.5,67,334,173
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","22-09-2026 22:00:00",21.258815,81.578979,SO2,0,5,4
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","22-09-2026 22:00:00",21.371751,81.664929,PM10,21,166,93
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","22-09-2026 22:00:00",22.118125,83.140608,SO2,2,46,9
India,Delhi,Delhi,"Narela, Delhi - DPCC","22-09-2026 22:00:00",28.822836,77.101981,OZONE,30,95,62
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","22-09-2026 22:00:00",28.60909,77.0325413,NH3,3,10,7
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","22-09-2026 22:00:00",28.60909,77.0325413,SO2,11,16,14
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","22-09-2026 22:00:00",28.4706914,77.1099364,NO2,6,38,15
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","22-09-2026 22:00:00",28.4706914,77.1099364,OZONE,15,111,57
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM","22-09-2026 22:00:00",28.5512005,77.2735737,NO2,5,56,32
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM","22-09-2026 22:00:00",28.5512005,77.2735737,OZONE,12,164,77
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","22-09-2026 22:00:00",28.7256504,77.2011573,NO2,13,107,51
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","22-09-2026 22:00:00",28.7256504,77.2011573,CO,41,76,54
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","22-09-2026 22:00:00",28.5918245,77.2273074,PM2.5,28,172,91
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","22-09-2026 22:00:00",28.5918245,77.2273074,CO,12,34,20
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","22-09-2026 22:00:00",28.5918245,77.2273074,OZONE,14,230,100
India,Delhi,Delhi,"JNU, Delhi - DPCC","22-09-2026 22:00:00",28.540721,77.168544,SO2,5,10,6
India,Delhi,Delhi,"ITO, Delhi - CPCB","22-09-2026 22:00:00",28.628624,77.24106,SO2,7,35,16
India,Delhi,Delhi,"ITO, Delhi - CPCB","22-09-2026 22:00:00",28.628624,77.24106,OZONE,9,83,46
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","22-09-2026 22:00:00",28.563262,77.186937,NH3,6,8,7
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","22-09-2026 22:00:00",28.674045,77.131023,NH3,NA,NA,NA
India,Delhi,Delhi,"DTU, Delhi - CPCB","22-09-2026 22:00:00",28.7500499,77.1112615,PM10,101,186,134
India,Delhi,Delhi,"DTU, Delhi - CPCB","22-09-2026 22:00:00",28.7500499,77.1112615,CO,14,23,17
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","22-09-2026 22:00:00",28.5710274,77.0719006,SO2,6,20,14
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","22-09-2026 22:00:00",28.498571,77.26484,PM10,134,193,161
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","22-09-2026 22:00:00",28.498571,77.26484,SO2,6,10,7
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","22-09-2026 22:00:00",28.6514781,77.1473105,PM2.5,53,125,80
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","22-09-2026 22:00:00",28.6514781,77.1473105,CO,47,67,58
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","22-09-2026 22:00:00",28.6514781,77.1473105,OZONE,9,13,11
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","22-09-2026 22:00:00",28.656756,77.227234,OZONE,12,72,45
India,Delhi,Delhi,"Pusa, Delhi - IITM","22-09-2026 22:00:00",28.63611,77.173332,PM2.5,67,295,186
India,Delhi,Delhi,"Pusa, Delhi - IITM","22-09-2026 22:00:00",28.63611,77.173332,NO2,19,149,61
India,Delhi,Delhi,"Pusa, Delhi - IITM","22-09-2026 22:00:00",28.63611,77.173332,CO,26,59,36
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","22-09-2026 22:00:00",28.54246,77.191651,PM2.5,86,224,145
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","22-09-2026 22:00:00",28.5627763,77.1180053,CO,33,53,40
India,Delhi,Delhi,"Mundka, Delhi - DPCC","22-09-2026 22:00:00",28.684678,77.076574,CO,41,59,49
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","22-09-2026 22:00:00",28.594004,76.909423,NO2,2,18,7
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","22-09-2026 22:00:00",28.594004,76.909423,SO2,0,3,1
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","22-09-2026 22:00:00",28.695381,77.181665,NH3,5,8,7
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","22-09-2026 22:00:00",28.695381,77.181665,CO,101,109,103
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","22-09-2026 22:00:00",28.636429,77.201067,CO,21,40,30
India,Delhi,Delhi,"Pusa, Delhi - DPCC","22-09-2026 22:00:00",28.639652,77.146275,PM10,122,233,158
India,Delhi,Delhi,"Pusa, Delhi - DPCC","22-09-2026 22:00:00",28.639652,77.146275,SO2,7,20,12
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","22-09-2026 22:00:00",28.493624,77.201159,PM10,124,167,144
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","22-09-2026 22:00:00",28.6573814,77.1585447,NO2,97,275,163
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","22-09-2026 22:00:00",28.656756,77.227234,SO2,12,17,15
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","22-09-2026 22:00:00",28.5504249,77.2159377,NO2,25,31,28
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","22-09-2026 22:00:00",22.320153,73.216285,OZONE,2,22,9
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","22-09-2026 22:00:00",20.362421,72.918013,PM2.5,15,72,36
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","22-09-2026 22:00:00",20.362421,72.918013,PM10,25,78,50
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","22-09-2026 22:00:00",20.362421,72.918013,NO2,19,27,23
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","22-09-2026 22:00:00",20.362421,72.918013,SO2,12,25,16
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","22-09-2026 22:00:00",22.969611,72.6435,PM2.5,27,324,181
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","22-09-2026 22:00:00",22.969611,72.6435,PM10,69,209,145
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","22-09-2026 22:00:00",30.379589,76.778328,NH3,6,7,6
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","22-09-2026 22:00:00",28.6701,76.9254,PM2.5,98,306,183
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","22-09-2026 22:00:00",28.6701,76.9254,PM10,103,167,133
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","22-09-2026 22:00:00",28.6701,76.9254,NO2,18,24,21
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","22-09-2026 22:00:00",22.977134,72.553024,OZONE,15,34,26
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","22-09-2026 22:00:00",23.107969,72.574648,NO2,7,52,27
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","22-09-2026 22:00:00",23.107969,72.574648,NH3,4,13,7
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","22-09-2026 22:00:00",23.107969,72.574648,OZONE,4,20,12
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","22-09-2026 22:00:00",23.076793,72.627874,PM2.5,58,296,142
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","22-09-2026 22:00:00",23.076793,72.627874,PM10,80,300,140
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","22-09-2026 22:00:00",23.076793,72.627874,NO2,6,101,42
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","22-09-2026 22:00:00",23.020509,72.579261,PM2.5,49,329,131
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","22-09-2026 22:00:00",23.020509,72.579261,CO,28,100,60
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","22-09-2026 22:00:00",23.002657,72.591912,PM2.5,26,405,208
India,Delhi,Delhi,"Alipur, Delhi - DPCC","22-09-2026 22:00:00",28.815329,77.15301,NH3,5,7,6
India,Delhi,Delhi,"Alipur, Delhi - DPCC","22-09-2026 22:00:00",28.815329,77.15301,OZONE,5,36,22
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","22-09-2026 22:00:00",23.016834,72.625775,NH3,13,107,31
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","22-09-2026 22:00:00",23.023389,72.515201,PM2.5,33,77,48
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","22-09-2026 22:00:00",23.023389,72.515201,SO2,2,7,3
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","22-09-2026 22:00:00",23.023389,72.515201,OZONE,6,33,16
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","22-09-2026 22:00:00",22.977134,72.553024,NH3,1,4,2
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","22-09-2026 22:00:00",23.002657,72.591912,CO,52,110,84
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","22-09-2026 22:00:00",23.041137,72.456691,NO2,9,25,15
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","22-09-2026 22:00:00",23.041137,72.456691,SO2,2,3,3
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","22-09-2026 22:00:00",21.755417,72.139056,PM2.5,45,69,55
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","22-09-2026 22:00:00",21.755417,72.139056,NH3,4,5,5
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","22-09-2026 22:00:00",21.755417,72.139056,SO2,7,8,8
